Genus_species,n,Family
Petaurus_breviceps,23,Petauridae
Petaurus_norfolcensis,23,Petauridae
Caluromys_derbianus,22,Didelphidae
Callithrix_geoffroyi,20,Callitrichidae
Caluromys_lanatus,20,Didelphidae
Caluromys_philander,20,Didelphidae
Saimiri_sciureus,20,Cebidae
Caluromysiops_irrupta,19,Didelphidae
Hemibelideus_lemuroides,19,Pseudocheiridae
Marmosa_robinsoni,19,Didelphidae
Thylamys_elegans,19,Didelphidae
Mico_argentata,18,Callitrichidae
Petauroides_volans,18,Pseudocheiridae
Pseudocheirus_peregrinus,18,Pseudocheiridae
Saguinus_oedipus,18,Callitrichidae
Cebuella_pygmaea,17,Callitrichidae (Cebidae)
Apomys_musculus,15,Muridae
Callimico_goeldii,15,Callitrichidae
Leontopithecus_chrysomelas,15,Callitrichidae
Marmosa_murina,15,Didelphidae
Trichosurus_vulpecula,15,Phalangeridae
Thylamys_pallidior,14,Didelphidae
Arborimus_longicaudus,10,Cricetidae
Marmosa_mexicana,10,Didelphidae
Petaurista_petaurista,9,Sciuridae
Sciurus_niger,9,Sciuridae
Gracilinanus_agilis,8,Didelphidae
Gracilinanus_microtarsus,8,Didelphidae
Gracilinanus_marica,7,Didelphidae
Marmosa_demerarae,7,Didelphidae
Marmosa_regina,7,Didelphidae
Tamiasciurus_douglasii,7,Sciuridae
Galeopterus_variegatus,6,Cynocephalidae
Petaurista_magnificus,6,Sciuridae
Spilocuscus_maculatus,6,Phalangeridae
Marmosops_bishopi,5,Didelphidae
Petaurista_elegans,5,Sciuridae
Phalanger_orientalis,5,Phalangeridae
Sciurus_carolinensis,5,Sciuridae
Acrobates_pygmaeus,4,Acrobatidae
Galago_senegalensis,4,Galagidae
Martes_americana,4,Mustelidae
Nycticebus_coucang,4,Lorisidae
Phalanger_gymnotis,4,Phalangeridae
Aeromys_tephromelas,3,Sciuridae
Cynocephalus_volans,3,Cynocephalidae
Dromiciops_gliroides,3,Microbiotheriidae
Glaucomys_sabrinus,3,Sciuridae
Marmosops_noctivagus,3,Didelphidae
Glis_glis,2,Gliridae
Lemur_catta,2,Lemuridae
Phascolarctos_cinereus,2,Phascolarctidae
Anomalurus_beecrofti,1,Anomaluridae
Eoglaucomys_fimbriatus,1,Sciuridae
Glaucomys_volans,1,Sciuridae
Monodelphis_brevicaudata,1,Didelphidae
Phloeomys_pallidus,1,Muridae
